Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
2023-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2023-01-01 01:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.29,19.93,11.83,1.53
2023-01-01 01:00:00-05:00,2023-01-01 01:00:00-05:00,2023-01-01 02:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,30.18,18.75,9.99,1.44
2023-01-01 02:00:00-05:00,2023-01-01 02:00:00-05:00,2023-01-01 03:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.68,16.48,11.91,1.29
2023-01-01 03:00:00-05:00,2023-01-01 03:00:00-05:00,2023-01-01 04:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.2,15.52,12.42,1.26
2023-01-01 04:00:00-05:00,2023-01-01 04:00:00-05:00,2023-01-01 05:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.29,16.52,11.45,1.32
2023-01-01 05:00:00-05:00,2023-01-01 05:00:00-05:00,2023-01-01 06:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.55,17.53,10.7,1.32
2023-01-01 06:00:00-05:00,2023-01-01 06:00:00-05:00,2023-01-01 07:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.53,22.67,8.16,1.7
2023-01-01 07:00:00-05:00,2023-01-01 07:00:00-05:00,2023-01-01 08:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.65,20.48,10.55,1.62
2023-01-01 08:00:00-05:00,2023-01-01 08:00:00-05:00,2023-01-01 09:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.52,27.83,3.27,2.42
2023-01-01 09:00:00-05:00,2023-01-01 09:00:00-05:00,2023-01-01 10:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.09,27.88,3.76,2.45
2023-01-01 10:00:00-05:00,2023-01-01 10:00:00-05:00,2023-01-01 11:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.34,27.57,4.26,2.51
2023-01-01 11:00:00-05:00,2023-01-01 11:00:00-05:00,2023-01-01 12:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.34,28.41,3.26,2.67
2023-01-01 12:00:00-05:00,2023-01-01 12:00:00-05:00,2023-01-01 13:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.04,28.79,2.54,2.71
2023-01-01 13:00:00-05:00,2023-01-01 13:00:00-05:00,2023-01-01 14:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.63,29.39,0.45,2.79
2023-01-01 14:00:00-05:00,2023-01-01 14:00:00-05:00,2023-01-01 15:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.7,29.86,-0.0,2.84
2023-01-01 15:00:00-05:00,2023-01-01 15:00:00-05:00,2023-01-01 16:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.04,28.57,0.7,2.77
2023-01-01 16:00:00-05:00,2023-01-01 16:00:00-05:00,2023-01-01 17:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,42.01,34.09,4.72,3.2
2023-01-01 17:00:00-05:00,2023-01-01 17:00:00-05:00,2023-01-01 18:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,48.98,35.67,10.28,3.03
2023-01-01 18:00:00-05:00,2023-01-01 18:00:00-05:00,2023-01-01 19:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,42.56,31.53,8.13,2.9
2023-01-01 19:00:00-05:00,2023-01-01 19:00:00-05:00,2023-01-01 20:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,38.69,30.67,4.95,3.07
2023-01-01 20:00:00-05:00,2023-01-01 20:00:00-05:00,2023-01-01 21:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.34,30.46,1.14,2.74
2023-01-01 21:00:00-05:00,2023-01-01 21:00:00-05:00,2023-01-01 22:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.59,30.48,0.12,2.99
2023-01-01 22:00:00-05:00,2023-01-01 22:00:00-05:00,2023-01-01 23:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.94,29.97,-0.0,2.97
2023-01-01 23:00:00-05:00,2023-01-01 23:00:00-05:00,2023-01-02 00:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.71,27.52,2.8,2.39
2023-01-02 00:00:00-05:00,2023-01-02 00:00:00-05:00,2023-01-02 01:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.34,28.51,1.64,2.19
2023-01-02 01:00:00-05:00,2023-01-02 01:00:00-05:00,2023-01-02 02:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.81,26.99,0.8,2.02
2023-01-02 02:00:00-05:00,2023-01-02 02:00:00-05:00,2023-01-02 03:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,28.55,25.58,1.1,1.87
2023-01-02 03:00:00-05:00,2023-01-02 03:00:00-05:00,2023-01-02 04:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,28.28,23.46,3.06,1.76
2023-01-02 04:00:00-05:00,2023-01-02 04:00:00-05:00,2023-01-02 05:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,28.88,23.38,3.79,1.71
2023-01-02 05:00:00-05:00,2023-01-02 05:00:00-05:00,2023-01-02 06:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.38,27.46,-0.0,1.92
2023-01-02 06:00:00-05:00,2023-01-02 06:00:00-05:00,2023-01-02 07:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.01,30.48,1.24,2.29
2023-01-02 07:00:00-05:00,2023-01-02 07:00:00-05:00,2023-01-02 08:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,35.55,30.52,2.38,2.65
2023-01-02 08:00:00-05:00,2023-01-02 08:00:00-05:00,2023-01-02 09:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,35.4,32.22,0.15,3.03
2023-01-02 09:00:00-05:00,2023-01-02 09:00:00-05:00,2023-01-02 10:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,34.71,31.12,0.69,2.9
2023-01-02 10:00:00-05:00,2023-01-02 10:00:00-05:00,2023-01-02 11:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.84,30.99,-0.0,2.85
2023-01-02 11:00:00-05:00,2023-01-02 11:00:00-05:00,2023-01-02 12:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.46,30.67,-0.0,2.79
2023-01-02 12:00:00-05:00,2023-01-02 12:00:00-05:00,2023-01-02 13:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.4,30.64,-0.0,2.76
2023-01-02 13:00:00-05:00,2023-01-02 13:00:00-05:00,2023-01-02 14:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.08,30.52,-0.0,2.56
2023-01-02 14:00:00-05:00,2023-01-02 14:00:00-05:00,2023-01-02 15:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,33.53,30.62,-0.0,2.91
2023-01-02 15:00:00-05:00,2023-01-02 15:00:00-05:00,2023-01-02 16:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,35.0,32.05,-0.0,2.95
2023-01-02 16:00:00-05:00,2023-01-02 16:00:00-05:00,2023-01-02 17:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,42.18,36.62,2.3,3.26
2023-01-02 17:00:00-05:00,2023-01-02 17:00:00-05:00,2023-01-02 18:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,50.48,39.19,8.12,3.17
2023-01-02 18:00:00-05:00,2023-01-02 18:00:00-05:00,2023-01-02 19:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,46.12,38.32,4.43,3.37
2023-01-02 19:00:00-05:00,2023-01-02 19:00:00-05:00,2023-01-02 20:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,42.49,36.18,2.94,3.37
2023-01-02 20:00:00-05:00,2023-01-02 20:00:00-05:00,2023-01-02 21:00:00-05:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,37.57,34.59,-0.0,2.98
