t,E_soc_kWh,P_batt_kW,F_fr_kW,d_grid_kW,cost_e_usd,rev_fr_usd,net_cost_usd,L_kW,pi_e_per_kWh,pi_f_per_kW,alpha
0,250.0,-0.0,1000.0,8932.0,0.0,10.17,-10.17,8932.0,0.03329,0.01017,0.0
1,250.0,123.7808,876.2192,10234.959,-1.962938,4.83673,-6.799668,10300.0,0.03018,0.00552,0.067038
2,184.959,-88.3697,911.6303,9107.6272,-2.207386,5.032199,-7.239585,9182.0,0.02968,0.00552,-0.178518
3,110.5861,-0.0,1000.0,9617.2106,0.91135,5.52,-4.60865,9586.0,0.0292,0.00552,0.031211
4,141.7968,-0.0,1000.0,9748.3322,6.74643,5.52,1.22643,9518.0,0.02929,0.00552,0.230332
5,372.129,-166.1762,244.7949,8981.3915,3.05522,1.351268,1.703952,8878.0,0.02955,0.00552,-0.256479
6,475.5205,333.8238,244.7949,10234.959,-14.672364,1.725804,-16.398168,10686.0,0.03253,0.00705,-0.478838
7,24.4795,-476.7929,244.7949,9733.7649,12.921722,2.428365,10.493357,9338.0,0.03265,0.00992,-0.331004
8,420.2443,-202.4434,797.5566,10234.959,-1.710895,5.223995,-6.93489,10286.0,0.03352,0.00655,-0.317826
9,369.2033,-233.1015,766.8985,9271.4615,1.617963,5.023185,-3.405222,9224.0,0.03409,0.00655,-0.242066
10,416.6648,-166.6484,833.3516,10234.959,-4.843349,5.041777,-9.885126,10376.0,0.03434,0.00605,-0.369219
11,275.6238,-81.9585,918.0415,8729.3509,0.18375,5.554151,-5.370401,8724.0,0.03434,0.00605,-0.083447
12,280.9747,-86.6823,634.6499,9857.5603,5.295273,3.839632,1.455641,9702.0,0.03404,0.00605,0.108529
13,436.535,413.3177,586.6823,10234.959,-11.650248,3.549428,-15.199676,10592.0,0.03263,0.00605,0.095924
14,79.494,-124.4288,705.0536,9462.0006,11.445021,4.568747,6.876274,9112.0,0.0327,0.00648,0.319936
15,429.4946,370.0249,371.2421,10241.2384,-7.778082,2.246015,-10.024097,10484.0,0.03204,0.00605,0.342804
16,186.733,-129.6002,870.3998,9290.8383,7.933098,11.289086,-3.355987,9102.0,0.04201,0.01297,0.068059
17,375.5714,369.8082,630.1918,10241.4836,-14.033572,9.156686,-23.190258,10528.0,0.04898,0.01453,0.132169
18,89.055,-107.2577,890.5499,9345.6699,0.32643,9.956348,-9.629918,9338.0,0.04256,0.01118,-0.111827
19,96.7249,32.7512,967.2488,10047.0547,2.826488,7.447816,-4.621328,9974.0,0.03869,0.0077,0.109389
20,169.7796,8.0581,991.9419,9850.427,2.143743,5.45568,-3.311938,9788.0,0.03434,0.0055,0.071058
21,232.2066,-0.0,1000.0,9106.6236,0.424026,6.18,-5.755974,9094.0,0.03359,0.00618,0.012624
22,244.8302,-0.0,1000.0,10271.6632,-4.622695,6.87,-11.492695,10412.0,0.03294,0.00687,-0.140337
23,104.4933,102.9194,897.0806,8863.9385,1.437228,4.951885,-3.514657,8820.0,0.03271,0.00552,0.163706
24,148.4318,10.4408,989.5592,10281.4156,2.50362,5.650383,-3.146763,10204.0,0.03234,0.00571,0.088783
25,225.8474,-0.0,1000.0,9492.3554,-0.824085,5.27,-6.094085,9520.0,0.02981,0.00527,-0.027645
26,198.2028,-0.0,1000.0,8971.7972,-2.803691,5.27,-8.073691,9070.0,0.02855,0.00527,-0.098203
27,100.0,-0.0,1000.0,9173.4559,1.228933,5.88,-4.651067,9130.0,0.02828,0.00588,0.043456
28,143.4559,-0.0,1000.0,9886.9896,3.26314,5.45,-2.18686,9774.0,0.02888,0.00545,0.11299
29,256.4455,25.0787,974.9213,9026.0623,4.291312,5.381566,-1.090254,8880.0,0.02938,0.00552,0.175543
30,402.5079,346.5504,653.4496,10281.4156,-6.753856,6.769738,-13.523595,10480.0,0.03401,0.01036,0.226438
31,203.9234,255.5524,744.4476,9265.6318,7.879011,6.938251,0.940759,9044.0,0.03555,0.00932,0.640991
32,425.5552,469.8194,381.3512,10281.4156,-11.348689,3.359704,-14.708393,10602.0,0.0354,0.00881,0.391332
33,104.9708,-158.8216,841.1784,9402.9113,10.791732,6.073308,4.718424,9092.0,0.03471,0.00722,0.180806
34,415.8822,176.838,823.162,10281.4156,-7.193857,4.98013,-12.173987,10494.0,0.03384,0.00605,-0.043426
35,203.2977,-111.0448,888.9552,9554.5593,6.777633,5.378179,1.399454,9352.0,0.03346,0.00605,0.102946
36,405.857,406.5492,362.2547,10293.395,-9.639408,2.191641,-11.831049,10582.0,0.0334,0.00605,0.325584
