method,sigma_case,sigma,realization,phi,energy,fr_revenue,demand,peak_kW
deterministic,undiscounted,1.0,0,318291.25,-130.01,3498.45,321919.72,16095.99
stochastic,undiscounted,1.0,0,322405.84,-83.58,1523.96,324013.39,16200.67
perfect_info,undiscounted,1.0,0,316386.36,-1279.52,4602.73,322268.61,16113.43
deterministic,undiscounted,1.0,1,342633.53,176.8,3470.26,345926.98,17296.35
stochastic,undiscounted,1.0,1,333004.58,-79.14,1546.21,334629.93,16731.5
perfect_info,undiscounted,1.0,1,324616.15,-1171.92,4560.62,330348.69,16517.43
deterministic,undiscounted,1.0,2,318835.27,71.93,3499.77,322263.11,16113.16
stochastic,undiscounted,1.0,2,320857.82,-143.95,1539.34,322541.11,16127.06
perfect_info,undiscounted,1.0,2,301604.0,-1125.65,4811.45,307541.11,15377.06
deterministic,undiscounted,1.0,3,328761.21,-5.77,3384.88,332151.85,16607.59
stochastic,undiscounted,1.0,3,330951.4,-103.46,1537.02,332591.87,16629.59
perfect_info,undiscounted,1.0,3,318677.43,-1202.21,4615.8,324495.44,16224.77
deterministic,undiscounted,1.0,4,317795.87,117.41,3410.62,321089.08,16054.45
stochastic,undiscounted,1.0,4,319114.53,-12.23,1468.88,320595.64,16029.78
perfect_info,undiscounted,1.0,4,303368.01,-1056.91,4724.23,309149.16,15457.46
deterministic,undiscounted,1.0,5,325444.71,360.83,3602.03,328685.91,16434.3
stochastic,undiscounted,1.0,5,329554.53,-38.38,1584.04,331176.96,16558.85
perfect_info,undiscounted,1.0,5,314743.74,-1299.41,4632.06,320675.21,16033.76
deterministic,undiscounted,1.0,6,309769.54,2.79,3716.84,313483.58,15674.18
stochastic,undiscounted,1.0,6,318068.94,-44.24,1477.7,319590.87,15979.54
perfect_info,undiscounted,1.0,6,299843.62,-1184.38,4949.39,305977.39,15298.87
deterministic,undiscounted,1.0,7,327825.11,187.85,3427.83,331065.09,16553.25
stochastic,undiscounted,1.0,7,323794.37,-75.83,1493.31,325363.5,16268.18
perfect_info,undiscounted,1.0,7,307193.79,-988.89,4871.7,313054.39,15652.72
deterministic,undiscounted,1.0,8,322294.05,196.52,3554.49,325652.02,16282.6
stochastic,undiscounted,1.0,8,317109.92,-80.35,1531.05,318721.32,15936.07
perfect_info,undiscounted,1.0,8,302587.22,-1202.74,4797.94,308587.89,15429.39
deterministic,undiscounted,1.0,9,329121.73,444.3,3518.18,332195.61,16609.78
stochastic,undiscounted,1.0,9,316741.52,21.12,1473.78,318194.18,15909.71
perfect_info,undiscounted,1.0,9,299406.25,-1247.33,4555.23,305208.81,15260.44
deterministic,undiscounted,1.0,10,323762.41,401.44,3513.45,326874.42,16343.72
stochastic,undiscounted,1.0,10,321632.9,-73.1,1481.46,323187.47,16159.37
perfect_info,undiscounted,1.0,10,303533.0,-1175.99,4726.01,309435.01,15471.75
deterministic,undiscounted,1.0,11,317821.97,-74.42,3540.68,321437.08,16071.85
stochastic,undiscounted,1.0,11,311896.82,-147.67,1431.17,313475.67,15673.78
perfect_info,undiscounted,1.0,11,295774.79,-1259.74,4696.1,301730.63,15086.53
deterministic,undiscounted,1.0,12,330436.42,-7.72,3490.86,333935.01,16696.75
stochastic,undiscounted,1.0,12,326246.49,-131.88,1556.64,327935.01,16396.75
perfect_info,undiscounted,1.0,12,310016.35,-1346.15,4572.51,315935.01,15796.75
deterministic,undiscounted,1.0,13,326509.64,139.37,3486.69,329856.96,16492.85
stochastic,undiscounted,1.0,13,324368.34,-137.46,1494.74,326000.53,16300.03
perfect_info,undiscounted,1.0,13,306018.03,-1250.32,4577.9,311846.26,15592.31
deterministic,undiscounted,1.0,14,314652.64,334.66,3546.39,317864.37,15893.22
stochastic,undiscounted,1.0,14,316669.97,54.25,1465.56,318081.28,15904.06
perfect_info,undiscounted,1.0,14,302624.82,-1265.13,4682.74,308572.68,15428.63
deterministic,undiscounted,1.0,15,305122.35,344.19,3348.85,308127.01,15406.35
stochastic,undiscounted,1.0,15,306209.41,34.78,1339.91,307514.54,15375.73
perfect_info,undiscounted,1.0,15,293360.36,-1075.06,4579.9,299015.32,14950.77
deterministic,undiscounted,1.0,16,283889.39,83.38,3597.12,287403.13,14370.16
stochastic,undiscounted,1.0,16,290014.14,-61.56,1313.76,291389.45,14569.47
perfect_info,undiscounted,1.0,16,273759.1,-1231.38,4815.33,279805.82,13990.29
deterministic,undiscounted,1.0,17,299631.7,409.33,3402.56,302624.93,15131.25
stochastic,undiscounted,1.0,17,291142.81,-47.51,1261.77,292452.09,14622.6
perfect_info,undiscounted,1.0,17,278698.69,-1131.89,4594.14,284424.71,14221.24
deterministic,undiscounted,1.0,18,325278.96,208.08,3532.19,328603.07,16430.15
stochastic,undiscounted,1.0,18,324440.97,-12.78,1545.5,325999.25,16299.96
perfect_info,undiscounted,1.0,18,309838.17,-1229.22,4732.19,315799.57,15789.98
deterministic,undiscounted,1.0,19,325848.19,230.75,3422.45,329039.9,16451.99
stochastic,undiscounted,1.0,19,331876.38,-23.93,1573.33,333473.64,16673.68
perfect_info,undiscounted,1.0,19,314773.82,-1012.93,4618.55,320405.29,16020.26
deterministic,undiscounted,1.0,20,321949.5,14.82,3375.51,325310.19,16265.51
stochastic,undiscounted,1.0,20,323580.7,-90.03,1440.43,325111.16,16255.56
perfect_info,undiscounted,1.0,20,310885.04,-1203.91,4533.22,316622.18,15831.11
deterministic,undiscounted,1.0,21,302818.37,-126.85,3592.44,306537.66,15326.88
stochastic,undiscounted,1.0,21,309973.55,-145.9,1378.85,311498.3,15574.92
perfect_info,undiscounted,1.0,21,291985.11,-1266.89,4651.05,297903.06,14895.15
deterministic,undiscounted,1.0,22,334648.36,30.59,3422.41,338040.19,16902.01
