t,L_kW,pi_e_per_kWh,pi_f_per_kW,alpha,P_kW,F_kW,E_kWh,d_kW,cost_e_usd,rev_fr_usd
0,8932.0,0.03329,0.01017,0.0,-0.0,1000.0,250.0,8932.0,0.0,10.17
1,10300.0,0.03018,0.00552,0.067038,-0.0,1000.0,250.0,10367.0378,2.0232,5.52
2,9182.0,0.02968,0.00552,-0.178518,-0.0,1000.0,317.0378,9003.4818,-5.29842,5.52
3,9586.0,0.0292,0.00552,0.031211,-265.9635,734.0365,138.5196,9874.8732,8.435097,4.051882
4,9518.0,0.02929,0.00552,0.230332,22.9526,726.0723,427.3928,9662.2853,4.226115,4.007919
5,8878.0,0.02955,0.00552,-0.256479,89.6243,-0.0,500.0,8788.3757,-2.648397,-0.0
6,10686.0,0.03253,0.00705,-0.478838,103.7573,896.2427,410.3757,10153.0873,-17.335652,6.318511
7,9338.0,0.03265,0.00992,-0.331004,-396.2427,-0.0,0.0,9734.2427,12.937325,-0.0
8,10286.0,0.03352,0.00655,-0.317826,22.6544,977.3456,396.2427,9952.7194,-11.171564,6.401614
9,9224.0,0.03409,0.00655,-0.242066,-350.1298,629.6215,62.9621,9421.7198,6.740268,4.124021
10,10376.0,0.03434,0.00605,-0.369219,97.0546,902.9454,260.682,9945.5607,-14.781286,5.46282
11,8724.0,0.03434,0.00605,-0.083447,-402.9454,0.0,0.0,9126.9454,13.837146,0.0
12,9702.0,0.03404,0.00605,0.108529,-94.8886,0.0,402.9454,9796.8886,3.230007,0.0
13,10592.0,0.03263,0.00605,0.095924,405.1114,21.6601,497.834,10188.9663,-13.15099,0.131044
14,9112.0,0.0327,0.00648,0.319936,-94.8886,0.0,94.8003,9206.8886,3.102856,0.0
15,10484.0,0.03204,0.00605,0.342804,189.6888,-0.0,189.6888,10294.3112,-6.07763,-0.0
16,9102.0,0.04201,0.01297,0.068059,-310.2468,-0.0,0.0,9412.2468,13.033468,-0.0
17,10528.0,0.04898,0.01453,0.132169,189.7532,810.2468,310.2468,10445.3364,-4.048863,11.772886
18,9338.0,0.04256,0.01118,-0.111827,90.4197,909.5803,227.5832,9145.8644,-8.177292,10.169108
19,9974.0,0.03869,0.0077,0.109389,-77.2161,354.4758,35.4476,10089.9917,4.487718,2.729464
20,9788.0,0.03434,0.0055,0.071058,-0.0,1000.0,151.4393,9859.0577,2.440122,5.5
21,9094.0,0.03359,0.00618,0.012624,-0.0,1000.0,222.497,9106.6236,0.424026,6.18
22,10412.0,0.03294,0.00687,-0.140337,-0.0,1000.0,235.1206,10271.6632,-4.622695,6.87
23,8820.0,0.03271,0.00552,0.163706,-52.1627,947.8373,94.7837,9027.3298,6.781759,5.232062
24,10204.0,0.03234,0.00571,0.088783,-0.0,1000.0,302.1136,10292.7834,2.871254,5.71
25,9520.0,0.02981,0.00527,-0.027645,-0.0,1000.0,390.8969,9492.3554,-0.824085,5.27
26,9070.0,0.02855,0.00527,-0.098203,-0.0,1000.0,363.2523,8971.7972,-2.803691,5.27
27,9130.0,0.02828,0.00588,0.043456,-140.1104,859.8896,265.0495,9307.4777,5.01907,5.056151
28,9774.0,0.02888,0.00545,0.11299,38.901,574.7278,442.5272,9800.0372,0.751956,3.132267
29,8880.0,0.02938,0.00552,0.175543,61.3823,314.3554,468.5645,8873.8007,-0.182136,1.735242
30,10480.0,0.03401,0.01036,0.226438,60.3409,376.3484,462.3652,10504.8787,0.846124,3.898969
31,9044.0,0.03555,0.00932,0.640991,86.5578,127.5615,487.2439,9039.208,-0.170355,1.188873
32,10602.0,0.0354,0.00881,0.391332,81.508,175.4813,482.4519,10589.1634,-0.454416,1.54599
33,9092.0,0.03471,0.00722,0.180806,67.981,303.8473,469.6153,9078.9563,-0.452748,2.193777
