t,L_kW,pi_e_per_kWh,pi_f_per_kW,alpha,P_kW,F_kW,E_kWh,d_kW,cost_e_usd,rev_fr_usd
0,8932.0,0.03329,0.01017,0.0,-102.9532,224.9767,250.0,9034.9532,3.42731,2.288013
1,10300.0,0.03018,0.00552,0.067038,138.6877,247.0951,352.9532,10177.877,-3.685672,1.363965
2,9182.0,0.02968,0.00552,-0.178518,-269.1698,-0.0,230.8302,9451.1698,7.988961,-0.0
3,9586.0,0.0292,0.00552,0.031211,230.8302,-0.0,500.0,9355.1698,-6.740241,-0.0
4,9518.0,0.02929,0.00552,0.230332,237.8317,0.0,269.1698,9280.1683,-6.966091,0.0
5,8878.0,0.02955,0.00552,-0.256479,-262.1683,0.0,31.3381,9140.1683,7.747073,0.0
6,10686.0,0.03253,0.00705,-0.478838,121.9509,0.0,293.5064,10564.0491,-3.967064,0.0
7,9338.0,0.03265,0.00992,-0.331004,123.1031,64.3489,171.5555,9193.5971,-4.714754,0.638341
8,10286.0,0.03352,0.00655,-0.317826,27.1526,0.0,27.1526,10258.8474,-0.910155,0.0
9,9224.0,0.03409,0.00655,-0.242066,-250.0,-0.0,0.0,9474.0,8.5225,-0.0
10,10376.0,0.03434,0.00605,-0.369219,222.5236,24.9786,250.0,10144.2539,-7.958163,0.15112
11,8724.0,0.03434,0.00605,-0.083447,-277.4764,0.0,18.2539,9001.4764,9.52854,0.0
12,9702.0,0.03404,0.00605,0.108529,-22.4291,210.3905,295.7303,9747.2626,1.540739,1.272863
13,10592.0,0.03263,0.00605,0.095924,114.3464,323.9148,340.9929,10508.7246,-2.717275,1.959684
14,9112.0,0.0327,0.00648,0.319936,-121.1412,0.0,257.7175,9233.1412,3.961319,0.0
15,10484.0,0.03204,0.00605,0.342804,-36.6731,176.7739,378.8588,10581.2719,3.116591,1.069482
16,9102.0,0.04201,0.01297,0.068059,-11.1096,17.5925,476.1306,9114.307,0.517015,0.228175
17,10528.0,0.04898,0.01453,0.132169,378.8862,102.7642,488.4376,10162.6961,-17.892586,1.493164
18,9338.0,0.04256,0.01118,-0.111827,-121.1138,327.2866,123.1337,9422.5142,3.596926,3.659064
19,9974.0,0.03869,0.0077,0.109389,107.6479,0.0,207.6479,9866.3521,-4.164898,0.0
20,9788.0,0.03434,0.0055,0.071058,14.5922,0.0,100.0,9773.4078,-0.501095,0.0
21,9094.0,0.03359,0.00618,0.012624,-207.2961,0.0,85.4078,9301.2961,6.963076,0.0
22,10412.0,0.03294,0.00687,-0.140337,146.352,0.0,292.7039,10265.648,-4.820833,0.0
23,8820.0,0.03271,0.00552,0.163706,-271.037,0.0,146.352,9091.037,8.865621,0.0
24,10204.0,0.03234,0.00571,0.088783,128.9943,0.0,417.389,10075.0057,-4.171674,0.0
25,9520.0,0.02981,0.00527,-0.027645,164.6492,76.8068,288.3947,9353.2275,-4.971487,0.404772
26,9070.0,0.02855,0.00527,-0.098203,-189.1889,0.0,121.6223,9259.1889,5.401342,0.0
27,9130.0,0.02828,0.00588,0.043456,-141.7812,76.2676,310.8111,9275.0955,4.1033,0.448453
28,9774.0,0.02888,0.00545,0.11299,-26.7825,23.2635,455.9066,9803.4111,0.849392,0.126786
29,8880.0,0.02938,0.00552,0.175543,152.1204,146.8233,485.3177,8753.6534,-3.712062,0.810465
30,10480.0,0.03401,0.01036,0.226438,292.2179,23.5438,358.9711,10193.1133,-9.757018,0.243914
31,9044.0,0.03555,0.00932,0.640991,-204.8031,360.9837,72.0844,9480.1904,15.506568,3.364368
32,10602.0,0.0354,0.00881,0.391332,272.8218,0.0,500.0,10329.1782,-9.657893,0.0
33,9092.0,0.03471,0.00722,0.180806,-124.3624,142.3609,227.1782,9242.1021,5.210043,1.027846
34,10494.0,0.03384,0.00605,-0.043426,115.1641,332.486,377.2802,10364.3974,-4.385751,2.01154
35,9352.0,0.03346,0.00605,0.102946,-166.6856,0.0,247.6776,9518.6856,5.5773,0.0
36,10582.0,0.0334,0.00605,0.325584,221.1626,0.0,414.3632,10360.8374,-7.386831,0.0
37,9260.0,0.03308,0.00605,0.219119,183.4656,0.0,193.2006,9076.5344,-6.069041,0.0
38,10506.0,0.03353,0.00605,-0.020495,-245.1325,0.0,9.7351,10751.1325,8.219292,0.0
39,9260.0,0.035,0.00605,-0.196757,247.187,12.6469,254.8675,9010.3246,-8.738637,0.076514
40,9066.0,0.04218,0.007,-0.004437,-247.4039,0.0,5.1922,9313.4039,10.435497,0.0
41,10726.0,0.05048,0.01586,0.160188,195.9683,55.6019,252.5961,10538.9384,-9.442867,0.881846
42,9092.0,0.04612,0.00875,0.239635,65.5345,-0.0,65.5345,9026.4655,-3.022453,-0.0
43,10444.0,0.04249,0.007,0.033314,-22.4362,-0.0,0.0,10466.4362,0.953313,-0.0
44,9100.0,0.03757,0.0055,0.076061,-238.7819,0.0,22.4362,9338.7819,8.971036,0.0
45,10274.0,0.03398,0.007,0.082717,162.867,157.4064,261.2181,10124.1531,-5.091797,1.101845
46,9044.0,0.03398,0.00605,0.110149,-175.4032,256.8965,111.3712,9247.7,6.921728,1.554224
47,10032.0,0.0355,0.007,0.274326,-91.2058,114.502,315.0713,10154.6167,4.352894,0.801514
48,9080.0,0.03127,0.00527,0.254936,-31.156,-0.0,437.688,9111.156,0.974248,-0.0
49,9172.0,0.03015,0.00492,0.340563,159.0635,0.0,468.844,9012.9365,-4.795765,0.0
50,9902.0,0.02833,0.00352,0.270289,188.4779,141.4734,309.7805,9751.7609,-4.256275,0.497986
51,8824.0,0.02727,0.00303,0.266323,-29.0762,0.0,159.5413,8853.0762,0.792909,0.0
52,10160.0,0.02836,0.00352,0.338626,-311.3824,-0.0,188.6176,10471.3824,8.830806,-0.0
53,9108.0,0.03067,0.0065,-0.066605,-0.0,-0.0,500.0,9108.0,0.0,-0.0
54,10402.0,0.03642,0.01365,-0.120281,427.8427,0.0,500.0,9974.1573,-15.582031,0.0
55,9224.0,0.04131,0.00968,-0.193693,-11.3607,0.0,72.1573,9235.3607,0.469309,0.0
56,9194.0,0.04205,0.00605,-0.285823,31.4715,0.0,83.518,9162.5285,-1.323378,0.0
57,10692.0,0.04131,0.00605,-0.274898,52.0464,0.0,52.0464,10639.9536,-2.150039,0.0
58,9162.0,0.0401,0.0058,0.122713,-0.0,0.0,0.0,9162.0,0.0,0.0
59,10632.0,0.04013,0.0058,-0.098448,-201.3468,0.0,0.0,10833.3468,8.080046,0.0
60,9508.0,0.04048,0.0058,0.139185,-149.3266,0.0,201.3468,9657.3266,6.044741,0.0
61,9258.0,0.04112,0.0058,-0.265842,266.293,0.0,350.6734,8991.707,-10.94997,0.0
62,10974.0,0.03874,0.0058,-0.273056,-185.9743,352.8492,84.3803,11063.6266,3.472133,2.046526
63,9230.0,0.04137,0.0058,-0.168987,87.7334,0.0,174.0069,9142.2666,-3.62953,0.0
64,10278.0,0.04839,0.0105,0.002229,-166.8656,294.4046,86.2735,10445.5218,8.106381,3.091248
65,10050.0,0.05627,0.01601,0.158142,168.8121,0.0,253.7953,9881.1879,-9.499054,0.0
66,9300.0,0.05145,0.012,0.293143,-65.5785,191.7767,84.9833,9421.7964,6.266425,2.30132
67,10824.0,0.0461,0.00832,0.143137,168.033,67.0969,206.7797,10665.5711,-7.303573,0.558246
68,9266.0,0.03812,0.0055,0.005636,-252.2466,273.2703,48.3508,9519.7866,9.674346,1.502987
69,10532.0,0.03456,0.0055,0.192981,65.438,313.4839,302.1374,10527.0586,-0.170776,1.724161
70,9312.0,0.03306,0.00605,0.102649,107.4944,177.3072,297.1959,9222.706,-2.95206,1.072709
71,8930.0,0.03282,0.00675,-0.203664,-292.0981,0.0,207.9019,9222.0981,9.586659,0.0
72,10532.0,0.03272,0.00527,-0.402071,-0.0,-0.0,500.0,10532.0,0.0,-0.0
73,8966.0,0.02969,0.00527,-0.503833,337.9942,-0.0,500.0,8628.0058,-10.035048,-0.0
74,10262.0,0.02751,0.00352,-0.268499,-162.0058,0.0,162.0058,10424.0058,4.45678,0.0
75,9166.0,0.02684,0.003,-0.170041,86.6207,408.3606,324.0116,9009.9413,-4.188616,1.225082
76,10254.0,0.02713,0.00352,0.024376,17.4058,196.5503,167.9529,10241.3853,-0.342236,0.691857
77,9250.0,0.02873,0.00411,-0.075713,-159.3941,297.0896,155.3382,9386.9004,3.933148,1.221038
78,9228.0,0.03661,0.01372,-0.021906,-0.4093,310.2501,292.2386,9221.6129,-0.233833,4.256632
79,11262.0,0.04173,0.00961,0.1212,-141.1502,0.0,285.8515,11403.1502,5.890199,0.0
80,9990.0,0.04274,0.00605,0.022844,313.7302,287.388,427.0017,9682.8349,-13.128237,1.738698
81,11878.0,0.04033,0.00605,0.117623,-186.2698,0.0,119.8366,12064.2698,7.512262,0.0
82,10812.0,0.03763,0.00605,-0.057406,-10.8588,288.1502,306.1064,10806.3172,-0.213842,1.743309
83,12138.0,0.03767,0.00605,-0.122926,223.6145,111.0463,300.4236,11900.735,-8.937772,0.67183
84,10758.0,0.03782,0.00605,-0.176177,26.0695,47.2262,63.1587,10723.6103,-1.300617,0.285719
85,11080.0,0.03816,0.00605,-0.395218,1.3048,43.57,28.769,11061.4755,-0.706893,0.263599
86,11814.0,0.03788,0.00605,-0.189279,10.2445,0.0,10.2445,11803.7555,-0.388063,0.0
87,10404.0,0.04001,0.00605,-0.245228,-0.0,0.0,0.0,10404.0,0.0,0.0
88,11928.0,0.04586,0.00732,-0.181172,-250.0,-0.0,0.0,12178.0,11.465,-0.0
89,9838.0,0.05732,0.016,-0.030115,32.6265,287.1458,250.0,9796.7261,-2.36582,4.594333
90,11224.0,0.04947,0.01093,0.075651,139.2518,0.0,208.7261,11084.7482,-6.888788,0.0
91,9410.0,0.04382,0.00605,0.203123,-151.7098,252.2245,69.4743,9612.9423,8.89293,1.525958
92,10642.0,0.0392,0.00572,0.130675,167.9822,106.9383,272.4165,10487.992,-6.037113,0.611687
93,9368.0,0.03717,0.00542,0.004881,-197.823,349.9312,118.4086,9567.5309,7.416564,1.896627
94,10452.0,0.03495,0.0058,-0.013877,33.1333,416.1034,317.9395,10413.0922,-1.359826,2.4134
95,9198.0,0.03439,0.00492,-0.381622,16.1646,206.032,279.0317,9103.2092,-3.259857,1.013677
96,9264.0,0.0291,0.00502,-0.604581,-51.6899,366.5179,184.2409,9094.1001,-4.944086,1.83992
97,10104.0,0.02612,0.00364,-0.74443,-162.4996,143.4101,14.341,10159.7408,1.455951,0.522013
98,8894.0,0.02501,0.003,-0.777717,-93.0406,250.8625,70.0818,8791.9407,-2.552503,0.752587
99,10408.0,0.025,0.003,-0.495337,-349.9439,-0.0,0.0,10757.9439,8.748598,-0.0
100,8878.0,0.02541,0.003,-0.570708,87.8184,277.9387,349.9439,8631.5597,-6.262048,0.833816
101,10308.0,0.02698,0.00452,-0.511227,-191.8319,146.3362,103.5036,10425.0209,3.157224,0.66144
102,9874.0,0.0317,0.00907,-0.09759,-38.1986,447.9445,220.5245,9868.4837,-0.174868,4.062856
103,9856.0,0.03601,0.01231,-0.151571,-93.2154,299.9138,215.0082,9903.7573,1.719739,3.691939
104,11558.0,0.03712,0.00605,0.048576,-232.1428,8.2987,262.7654,11790.5459,8.632104,0.050207
105,10684.0,0.03831,0.00616,-0.168964,-2.3443,0.0,495.3113,10686.3443,0.089811,0.0
106,10698.0,0.03613,0.00605,-0.171919,-0.8281,1.7698,497.6557,10698.5239,0.018928,0.010707
107,12404.0,0.03634,0.00605,-0.337944,335.3013,18.2044,498.1796,12062.5467,-12.408415,0.110137
108,10748.0,0.036,0.00605,-0.328046,-108.3735,295.269,156.7262,10759.5118,0.414425,1.786378
109,12242.0,0.03621,0.00605,-0.061166,-101.5271,299.1772,168.238,12325.2275,3.013667,1.810022
110,10760.0,0.03613,0.00605,-0.425885,217.7683,0.0,251.4655,10542.2317,-7.867968,0.0
111,10978.0,0.03617,0.00605,-0.223841,-220.0176,73.2898,33.6972,11181.6123,7.364658,0.443403
112,11430.0,0.04289,0.00615,-0.115579,-131.3452,0.0,237.3095,11561.3452,5.633397,0.0
113,9916.0,0.05186,0.016,-0.217397,27.1563,307.4552,368.6548,9822.0039,-4.874639,4.919283
114,11216.0,0.04547,0.00877,-0.481181,103.477,212.4324,274.6586,11010.3047,-9.352964,1.863032
115,9728.0,0.03828,0.00588,-0.345017,-215.5183,0.0,68.9634,9943.5183,8.250041,0.0
116,10378.0,0.03655,0.0055,-0.375251,59.3341,325.3684,284.4817,10196.571,-6.631228,1.789526
117,9212.0,0.03461,0.0055,-0.23025,-262.8577,466.4225,103.0527,9367.4642,5.380615,2.565324
118,10540.0,0.03209,0.00588,-0.16788,43.3536,344.7704,258.5169,10438.7665,-3.248585,2.02725
119,8888.0,0.0311,0.00492,0.226482,-89.7688,275.2932,157.2834,9040.1177,4.73086,1.354443
120,10480.0,0.03309,0.00527,0.117203,84.1884,421.0789,309.401,10445.1633,-1.152745,2.219086
121,8852.0,0.03151,0.004,-0.137267,77.4448,416.8866,274.5644,8717.3303,-4.243442,1.667546
122,10314.0,0.03003,0.003,-0.06351,-176.8815,411.5594,139.8947,10464.7434,4.526826,1.234678
123,8810.0,0.02985,0.003,0.000767,-10.3216,444.6948,290.6381,8820.6626,0.31828,1.334084
124,10214.0,0.02987,0.00302,0.299596,301.3007,-0.0,301.3007,9912.6993,-8.999853,-0.0
125,9036.0,0.03241,0.006,0.408422,-198.6993,-0.0,0.0,9234.6993,6.439843,-0.0
126,10842.0,0.03859,0.011,0.384828,115.5642,0.0,198.6993,10726.4358,-4.459621,0.0
127,10148.0,0.04707,0.0113,0.610548,-384.4358,0.0,83.1351,10532.4358,18.095394,0.0
128,10198.0,0.05067,0.0131,0.196383,-16.2145,0.0,467.5709,10214.2145,0.821591,0.0
129,12398.0,0.04857,0.01029,0.006542,-8.1073,0.0,483.7855,12406.1073,0.39377,0.0
